Código;Ação
VLID3;VALID
VRTA11;FII FATOR VE
VSLH11;FII VERS CRI
VSTE3;VESTE
VULC3;VULCABRAS
VVEO3;VIVEO
WALM34;WAL MART
WEGE3;WEG
WEST3;WESTWING
WFCO34;WELLS FARGO
WHGR11;FII WHG REAL
WIZC3;WIZ CO
XPCI11;FII XP CRED
XPIN11;FII XP INDL
XPLG11;FII XP LOG
XPML11;FII XP MALLS
XPPR11;FII XP PROP
XPSF11;FII XP SELEC
YDUQ3;YDUQS PART
Z1OM34;ZOOM VIDEO
Z1TS34;ZOETIS INC
ZAMP3;ZAMP S.A.
TRAD3;TC INVEST S.A.
